cng_(Feet),DISTANCE_FROM_MOUTH,ELEVATION,ADJUSTED_ELEVATION,LONGITUDE,LATITUDE
1896,54898.14340,397.29,397.29,-82.120231,33.473425
1900,54894.14340,397.29,397.29,-82.120218,33.473425
1904,54890.14340,395.97,395.97,-82.120209,33.473432
1908,54886.14340,395.97,395.97,-82.1202,33.47344
1912,54882.14340,397.48,395.97,-82.12019,33.473445
1916,54878.14340,397.06,395.94,-82.120181,33.473437
1920,54874.14340,396.40,395.91,-82.120172,33.473441
1924,54870.14340,396.40,395.88,-82.120163,33.473449
1928,54866.14340,396.72,395.85,-82.120153,33.473457
1932,54862.14340,396.24,395.82,-82.120141,33.473458
1936,54858.14340,396.77,395.79,-82.120127,33.473457
1940,54854.14340,397.15,395.76,-82.120114,33.473457
1944,54850.14340,397.15,395.73,-82.120101,33.473457
1948,54846.14340,397.06,395.70,-82.120092,33.473465
1952,54842.14340,396.24,395.67,-82.12008,33.473468
1956,54838.14340,396.24,395.64,-82.120069,33.473472
1960,54834.14340,395.61,395.61,-82.12006,33.47348
1964,54830.14340,395.59,395.59,-82.120051,33.473488
1968,54826.14340,396.29,395.59,-82.120039,33.47349
